date,n,ret_net_mean,ret_gross_mean,hit_up20,hit_pos,cum_ret_net
2025-11-05,10,-0.06950286654923263,-0.06670297547565958,0.1,0.3,26.150172963547718
2025-11-06,10,-0.05897948322891354,-0.05614792700994338,0.1,0.2,24.548869792582053
2025-11-07,10,-0.032066470675592575,-0.029153932473011613,0.1,0.2,23.72960770858369
2025-11-10,10,-0.04050977462503445,-0.037622642552692515,0.1,0.4,22.72781687374345
2025-11-11,10,-0.017240770921964653,-0.01428362178732664,0.1,0.3,22.318731018544913
2025-11-12,10,0.03835175153127039,0.04147618007148483,0.2,0.5,23.213045196592674
2025-11-13,10,0.059228362455677294,0.06241560928352787,0.3,0.6,24.64714421365216
2025-11-14,10,0.14641696467805004,0.1498665643711635,0.3,0.7,28.402321222075326
2025-11-17,10,0.10805206759831484,0.11138622627714626,0.3,0.6,31.579302822310375
2025-11-18,10,0.15533695022706343,0.15881339039825818,0.3,0.8,36.640072363252024
2025-11-19,10,0.07635776690546754,0.07959655657519313,0.2,0.5,39.514184235070154
2025-11-20,10,0.05612665543221791,0.05930456913963682,0.1,0.7,41.788109893749336
2025-11-21,10,0.09611732677452213,0.09941557349500715,0.3,0.6,45.900788634471006
2025-11-24,10,0.1027457100576699,0.10606390176295881,0.3,0.5,50.71964346498442
2025-11-25,10,0.030381251765433815,0.0334816968560018,0.2,0.4,52.29095097431259
2025-11-26,10,0.0019780877700692257,0.0049930669709821515,0.2,0.5,52.39636515269024
2025-11-27,10,0.024270741557198272,0.027352799957069462,0.2,0.6,53.692334531404974
2025-11-28,10,0.06455043023276977,0.06775369130668982,0.2,0.4,57.222748255841736
2025-12-01,10,0.04082746221877335,0.04395934023949185,0.3,0.5,59.599835310530274
2025-12-02,10,-0.029312010833943303,-0.026391184387104617,0.2,0.4,57.82353228137283
2025-12-03,10,0.12967522001856652,0.13307444334861235,0.5,0.7,65.45148677222909
2025-12-04,10,0.07026310640489522,0.07348355707612357,0.5,0.6,70.12057465806971
2025-12-05,10,0.03375807916261715,0.03686868521827196,0.3,0.6,72.52146864746764
2025-12-08,10,0.04831901568360468,0.05147343599157942,0.2,0.7,76.07395364412628
2025-12-09,10,0.1959805835504585,0.19957932151500352,0.2,0.8,91.17895205584313
2025-12-10,10,0.20944072414098774,0.21307996403308702,0.3,0.8,110.4849785249763
2025-12-11,10,0.17069899470873784,0.17422165968780123,0.4,0.7,129.515352284315
2025-12-12,10,0.1568276205507063,0.1603085461892741,0.3,0.6,149.9837644284013
2025-12-15,10,0.21787643826782382,0.22154106145218036,0.4,0.6,182.8795692583295
2025-12-16,10,0.17462357905726336,0.17815805321691408,0.2,0.6,214.98927775772694
2025-12-17,10,0.2256981891305335,0.2293863481750587,0.3,0.7,263.7376666192577
2025-12-18,10,0.36889834939505006,0.37301740159984964,0.5,0.8,361.3989548577989
2025-12-19,10,0.3262427945546326,0.33023349503975186,0.5,0.8,479.6290026342854
2025-12-22,10,0.2699606856004254,0.2737820316955119,0.5,0.7,609.3799377048858
2025-12-23,10,0.32003346284926026,0.3240054792871216,0.6,0.6,804.7219428222962
2025-12-24,10,0.31023079262132824,0.3141733125590053,0.6,0.7,1054.6816997764538
2025-12-26,10,0.3111322188723361,0.31507745122601416,0.6,0.7,1383.138289450821
2025-12-29,10,0.2508906096666794,0.25465457338683994,0.5,0.9,1730.4055887541324
2025-12-30,10,0.33913772845885254,0.34316723014930045,0.7,0.9,2317.5905471651713
2026-01-02,10,0.1977215056811224,0.20132548212750487,0.6,0.6,2776.025761208686
2026-01-05,10,0.126999555164863,0.1303907273469037,0.6,0.6,3128.7067975635546
2026-01-06,10,0.33311292252932123,0.33712429541556793,0.7,0.8,4171.252575559833
2026-01-07,10,0.3246607853232263,0.32864672549972546,0.5,0.8,5525.819373307941
2026-01-08,10,0.21427998470465998,0.21793378606284852,0.3,0.8,6710.106144085784
2026-01-09,10,0.2737249021952554,0.2775575749200154,0.6,0.8,8547.103016997644
2026-01-12,10,0.2759193391342699,0.27975861497920756,0.6,0.8,10905.689952299294
2026-01-13,10,0.25623812906460575,0.26001818361545215,0.4,0.7,13700.3997799642
2026-01-14,10,0.2302837382262118,0.23398569531214825,0.4,0.6,16855.60934022615
2026-01-15,10,0.1388619162605381,0.14228878260836317,0.3,0.6,19196.350414865236
2026-01-16,10,0.19292327611631618,0.19651281455999617,0.3,0.7,22899.96614965396
2026-01-19,10,0.16658198715538425,0.17009226394722593,0.3,0.6,26714.854598641505
2026-01-20,10,0.11396375684207347,0.11731570395393529,0.3,0.4,29759.493755949276
2026-01-21,10,,,0.0,0.0,29759.493755949276
2026-01-22,10,,,0.0,0.0,29759.493755949276
2026-01-23,10,,,0.0,0.0,29759.493755949276
2026-01-26,10,,,0.0,0.0,29759.493755949276
2026-01-27,10,,,0.0,0.0,29759.493755949276
2026-01-28,10,,,0.0,0.0,29759.493755949276
2026-01-29,10,,,0.0,0.0,29759.493755949276
2026-01-30,10,,,0.0,0.0,29759.493755949276
2026-02-02,10,,,0.0,0.0,29759.493755949276
2026-02-03,10,,,0.0,0.0,29759.493755949276
2026-02-04,10,,,0.0,0.0,29759.493755949276
2026-02-05,10,,,0.0,0.0,29759.493755949276
2026-02-06,10,,,0.0,0.0,29759.493755949276
2026-02-09,10,,,0.0,0.0,29759.493755949276
2026-02-10,10,,,0.0,0.0,29759.493755949276
2026-02-11,10,,,0.0,0.0,29759.493755949276
2026-02-12,10,,,0.0,0.0,29759.493755949276
2026-02-13,10,,,0.0,0.0,29759.493755949276
2026-02-19,10,,,0.0,0.0,29759.493755949276
2026-02-20,10,,,0.0,0.0,29759.493755949276
