date,ticker,name,market,pension_value_net,fininv_value_net,pension_vol_net,fininv_vol_net,pension_value_buy,pension_value_sell,fininv_value_buy,fininv_value_sell,pension_vol_buy,pension_vol_sell,fininv_vol_buy,fininv_vol_sell,pension_value_net_3d_sum,pension_value_net_5d_sum,pension_value_net_10d_sum,pension_value_net_20d_sum,fininv_value_net_3d_sum,fininv_value_net_5d_sum,fininv_value_net_10d_sum,fininv_value_net_20d_sum,pension_vol_net_3d_sum,pension_vol_net_5d_sum,pension_vol_net_10d_sum,pension_vol_net_20d_sum,fininv_vol_net_3d_sum,fininv_vol_net_5d_sum,fininv_vol_net_10d_sum,fininv_vol_net_20d_sum
2025-12-22,204270,제이앤티씨,KOSDAQ,-2774665,44029110,-138,2190,0,2774665,60816510,16787400,0,138,3023,833,6018285.0,28009235.0,-9593840.0,304996010.0,394106090.0,633216165.0,472688000.0,1679925745.0,297.0,1352.0,-429.0,14688.0,19636.0,31419.0,23514.0,79626.0
2025-12-22,207760,미스터블루,KOSDAQ,0,-346591431,0,-268230,0,0,30780,346622211,0,0,24,268254,0.0,0.0,0.0,0.0,-758765161.0,-903503067.0,-893493942.0,-829654619.0,0.0,0.0,0.0,0.0,-584691.0,-694576.0,-687316.0,-644021.0
2025-12-22,207940,삼성바이오로직스,KOSPI,-8064180500,7367063500,-4673,4251,1740138000,9804318500,13379572500,6012509000,1005,5678,7726,3475,-7554421000.0,940757000.0,25304537500.0,-10174312500.0,14151820000.0,17897338500.0,18417393000.0,41561213000.0,-4389.0,269.0,14128.0,-7678.0,8146.0,10302.0,10495.0,24536.0
2025-12-22,214320,이노션,KOSPI,12477580,82805170,657,4356,26530480,14052900,128667630,45862460,1396,739,6768,2412,2075913800.0,3090321615.0,3623100910.0,3893612715.0,142506050.0,574518435.0,528817435.0,585156400.0,108473.0,161575.0,189077.0,203090.0,7490.0,30141.0,27778.0,30852.0
2025-12-22,214450,파마리서치,KOSDAQ,3180594000,390101500,7968,974,3252600250,72006250,4941319000,4551217500,8149,181,12393,11419,4314144500.0,2738263500.0,1724489250.0,-1031588750.0,-997128250.0,-838730500.0,-13707093500.0,2085618500.0,10939.0,6678.0,4037.0,-3756.0,-2676.0,-2222.0,-35743.0,-5126.0
2025-12-22,225220,제놀루션,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,237690,에스티팜,KOSDAQ,-781309100,1835349050,-6320,14659,918706150,1700015250,2314279450,478930400,7307,13627,18481,3822,-767462800.0,-1670287150.0,6668444050.0,26008012200.0,2219068550.0,2469922300.0,8012352908.0,17632719358.0,-6356.0,-13796.0,50168.0,216306.0,17639.0,19728.0,62256.0,146114.0
2025-12-22,239890,피엔에이치테크,KOSDAQ,0,9568830,0,1912,0,0,12758100,3189270,0,0,2542,630,0.0,0.0,-45640525.0,-45640525.0,4508245.0,34689490.0,18245855.0,39865910.0,0.0,0.0,-9175.0,-9175.0,903.0,6833.0,3552.0,8118.0
2025-12-22,241560,두산밥캣,KOSPI,921830000,1001515300,15482,16784,946648100,24818100,1854123350,852608050,15899,417,31085,14301,2775534300.0,6011256250.0,14649940550.0,19449301450.0,1666193550.0,2930471700.0,5563378300.0,5986671100.0,46702.0,99747.0,241026.0,324276.0,27908.0,48849.0,92276.0,99857.0
2025-12-22,248070,솔루엠,KOSPI,0,-187872905,0,-11101,0,0,108565585,296438490,0,0,6422,17523,0.0,166932350.0,423972565.0,-91198750.0,66458005.0,309596335.0,631184235.0,-1086052605.0,0.0,9856.0,24859.0,-6501.0,4010.0,18584.0,37530.0,-63431.0
2025-12-22,258790,소프트캠프,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5096.0,981981.0,981981.0,981981.0,981981.0,0.0,0.0,0.0,0.0,693.0,693.0,693.0,693.0
2025-12-22,263020,디케이앤디,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
2025-12-22,293940,신한알파리츠,KOSPI,0,335778585,0,61146,0,0,438671125,102892540,0,0,79850,18704,0.0,32684160.0,46409430.0,1000626300.0,1091981790.0,1633398740.0,4462684105.0,6176112940.0,0.0,5925.0,8310.0,173162.0,199357.0,297688.0,792517.0,1088572.0
2025-12-22,297090,씨에스베어링,KOSDAQ,0,-14215200,0,-2070,0,0,54147880,68363080,0,0,7946,10016,0.0,0.0,0.0,91569620.0,26166290.0,228521290.0,148712430.0,152130510.0,0.0,0.0,0.0,15023.0,3928.0,34903.0,23642.0,24595.0
2025-12-22,303530,이노뎁,KOSDAQ,0,20,0,0,0,0,5590,5570,0,0,1,1,0.0,0.0,0.0,0.0,30.0,90.0,5730.0,5710.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-22,307750,국전약품,KOSDAQ,0,3102170,0,894,0,0,3105665,3495,0,0,895,1,0.0,0.0,0.0,0.0,30432895.0,37475025.0,51714890.0,88428760.0,0.0,0.0,0.0,0.0,8760.0,10762.0,14762.0,25328.0
2025-12-22,317770,엑스페릭스,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,12382025.0,12382025.0,12382025.0,0.0,0.0,0.0,0.0,0.0,4323.0,4323.0,4323.0
2025-12-22,320000,한울반도체,KOSDAQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,353810,이지바이오,KOSDAQ,0,140477880,0,22840,0,0,168269390,27791510,0,0,27313,4473,0.0,134376070.0,237841560.0,1224294470.0,136908270.0,123195680.0,127481050.0,-158189890.0,0.0,21346.0,37021.0,180699.0,22287.0,20097.0,20681.0,-22844.0
